region,status,slope_yr,hac_stars,ols_stars
Norte,total,0.958,***,***
Norte-Occidente,total,0.342,**,***
Centro-Norte,total,-0.954,*,***
Centro,total,3.398,***,***
Sur,total,0.026,ns,ns
Bajio,total,-0.307,ns,*
Norte,nl,0.659,***,***
Norte-Occidente,nl,0.391,**,***
Centro-Norte,nl,-0.963,**,***
Centro,nl,4.941,***,***
Sur,nl,-0.029,ns,ns
Bajio,nl,0.501,***,***
Norte,la,1.285,***,***
Norte-Occidente,la,0.334,***,***
Centro-Norte,la,-0.035,ns,ns
Centro,la,3.489,***,***
Sur,la,-0.119,ns,ns
Bajio,la,-0.346,ns,**
Norte,ld,0.742,***,***
Norte-Occidente,ld,0.009,ns,ns
Centro-Norte,ld,-0.08,ns,ns
Centro,ld,0.955,***,***
Sur,ld,0.017,ns,ns
Bajio,ld,0.148,ns,*
