alpha,region,status,mean_hh,slope_yr,hac_p,stars
0.01,Centro,total,16.88,2.894,0.0,***
0.01,Bajio,total,1.17,-0.219,0.3155,ns
0.01,Norte,total,6.91,1.293,0.0,***
0.01,Centro,nl,8.05,2.596,0.0,***
0.01,Bajio,nl,0.33,0.07,0.0745,ns
0.01,Norte,nl,2.83,0.341,0.007,**
0.01,Centro,la,16.48,2.59,0.0,***
0.01,Bajio,la,1.2,-0.222,0.2854,ns
0.01,Norte,la,6.73,1.329,0.0,***
0.01,Centro,ld,1.2,0.184,0.0075,**
0.01,Bajio,ld,0.22,-0.002,0.9519,ns
0.01,Norte,ld,2.04,0.467,0.0033,**
0.05,Centro,total,40.32,3.398,0.0005,***
0.05,Bajio,total,5.61,-0.307,0.4696,ns
0.05,Norte,total,12.38,0.958,0.0,***
0.05,Centro,nl,23.34,4.941,0.0,***
0.05,Bajio,nl,4.08,0.501,0.001,**
0.05,Norte,nl,11.05,0.659,0.0003,***
0.05,Centro,la,39.98,3.489,0.0004,***
0.05,Bajio,la,4.72,-0.346,0.4328,ns
0.05,Norte,la,10.45,1.285,0.0,***
0.05,Centro,ld,6.12,0.955,0.0,***
0.05,Bajio,ld,1.73,0.148,0.1808,ns
0.05,Norte,ld,3.69,0.742,0.0,***
0.1,Centro,total,55.1,3.601,0.0005,***
0.1,Bajio,total,6.31,-0.338,0.4511,ns
0.1,Norte,total,18.91,0.562,0.0866,ns
0.1,Centro,nl,33.58,5.907,0.0,***
0.1,Bajio,nl,5.39,0.71,0.0001,***
0.1,Norte,nl,17.53,0.658,0.0007,***
0.1,Centro,la,52.91,4.46,0.0001,***
0.1,Bajio,la,4.3,-0.327,0.5069,ns
0.1,Norte,la,13.45,1.107,0.0,***
0.1,Centro,ld,44.64,-14.393,0.0164,*
0.1,Bajio,ld,2.57,-0.294,0.1802,ns
0.1,Norte,ld,23.34,-7.008,0.0082,**
