status,analysis,segment,n,slope_pct_yr,hac_se_pct_yr,hac_p,hac_stars,ols_p,ols_stars,chow_F,chow_p
total,full_period,full (Jan2015–Dec2025),132,-1.0588,1.46,0.4696,ns,0.0143,*,,
total,piecewise_segment,pre (Jan2015–Dec2016),24,-30.1169,2.6181,0.0,***,0.0,***,77.972,0.0
total,piecewise_segment,post (Jan2017–Dec2025),108,1.6608,0.8066,0.0419,*,0.0001,***,,
nl,full_period,full (Jan2015–Dec2025),132,1.7292,0.5118,0.001,***,0.0,***,,
nl,piecewise_segment,pre (Jan2015–Dec2016),24,-1.0975,1.0408,0.3031,ns,0.4429,ns,4.419,0.0139
nl,piecewise_segment,post (Jan2017–Dec2025),108,1.1186,0.7558,0.1419,ns,0.0022,**,,
la,full_period,full (Jan2015–Dec2025),132,-1.1939,1.5174,0.4328,ns,0.0085,**,,
la,piecewise_segment,pre (Jan2015–Dec2016),24,-27.2204,2.6656,0.0,***,0.0,***,107.011,0.0
la,piecewise_segment,post (Jan2017–Dec2025),108,2.1181,0.7201,0.004,**,0.0,***,,
ld,full_period,full (Jan2015–Dec2025),132,0.5099,0.379,0.1808,ns,0.0119,*,,
ld,piecewise_segment,pre (Jan2015–Dec2016),24,-4.1379,1.3218,0.0049,**,0.06,ns,3.576,0.0308
ld,piecewise_segment,post (Jan2017–Dec2025),108,0.8817,0.4341,0.0448,*,0.0017,**,,
