state,status,mean_hh,max_hh,slope_yr,hac_p,hac_stars,ols_p,ols_stars
Coahuila,total,0.14,3,0.02,0.2476,ns,0.09,ns
Coahuila,nl,0.01,1,0.0016,0.3368,ns,0.5054,ns
Coahuila,la,0.19,1,0.0377,0.0202,*,0.0004,***
Coahuila,ld,0.1,4,-0.0062,0.6879,ns,0.6493,ns
Estado de Mexico,total,23.29,46,1.7587,0.0002,***,0.0,***
Estado de Mexico,nl,11.64,38,2.3639,0.0,***,0.0,***
Estado de Mexico,la,24.02,46,1.8123,0.0002,***,0.0,***
Estado de Mexico,ld,3.56,14,0.5156,0.0,***,0.0,***
Guanajuato,total,5.41,23,-0.4025,0.5217,ns,0.0245,*
Guanajuato,nl,5.63,19,0.7524,0.0013,**,0.0,***
Guanajuato,la,3.85,24,-0.5665,0.3999,ns,0.0028,**
Guanajuato,ld,1.86,11,0.1667,0.1682,ns,0.0178,*
Jalisco,total,7.92,18,-0.8409,0.0279,*,0.0,***
Jalisco,nl,7.92,17,-1.0161,0.0012,**,0.0,***
Jalisco,la,4.27,15,-0.0325,0.9164,ns,0.8061,ns
Jalisco,ld,2.79,12,-0.1089,0.6199,ns,0.2349,ns
Nayarit,total,0.86,4,0.098,0.0132,*,0.0006,***
Nayarit,nl,0.69,5,0.0536,0.1696,ns,0.039,*
Nayarit,la,0.74,4,0.1699,0.0,***,0.0,***
Nayarit,ld,0.05,3,-0.0032,0.7165,ns,0.7118,ns
Nuevo Leon,total,10.42,21,1.123,0.0,***,0.0,***
Nuevo Leon,nl,7.19,14,0.4395,0.0095,**,0.0,***
Nuevo Leon,la,9.65,17,1.3422,0.0,***,0.0,***
Nuevo Leon,ld,3.61,13,0.7953,0.0,***,0.0,***
Tabasco,total,1.26,6,0.1501,0.043,*,0.0001,***
Tabasco,nl,1.45,7,0.2142,0.0113,*,0.0,***
Tabasco,la,0.77,3,0.1173,0.0139,*,0.0,***
Tabasco,ld,0.07,3,0.0161,0.0199,*,0.0964,ns
Veracruz,total,1.48,15,0.1265,0.3036,ns,0.0773,ns
Veracruz,nl,1.05,5,-0.0297,0.6052,ns,0.3667,ns
Veracruz,la,1.36,14,0.2199,0.0749,ns,0.0025,**
Veracruz,ld,0.36,11,0.0498,0.1267,ns,0.1443,ns
