year,region,n_clusters,n_hh_munis
2015,Centro,2,34
2015,Centro-Norte,2,16
2015,Norte,4,20
2015,Sur,3,18
2016,Centro-Norte,4,15
2016,Norte,5,52
2016,Sur,2,11
2017,Centro-Norte,3,21
2017,Norte,4,82
2017,Sur,2,19
2018,Centro-Norte,6,26
2018,Norte,4,55
2018,Sur,1,3
2019,Centro,1,7
2019,Centro-Norte,3,53
2019,Norte,3,36
2019,Norte-Occidente,1,18
2019,Sur,2,9
2020,Centro,3,50
2020,Centro-Norte,4,46
2020,Norte,3,32
2020,Norte-Occidente,1,30
2020,Sur,1,6
2021,Centro,1,28
2021,Centro-Norte,4,23
2021,Norte,1,42
2021,Norte-Occidente,1,32
2021,Sur,3,10
2022,Centro,3,17
2022,Norte,2,43
2022,Norte-Occidente,1,26
2022,Sur,2,10
2023,Centro,3,22
2023,Centro-Norte,1,5
2023,Norte,3,56
2023,Norte-Occidente,1,32
2024,Centro,7,48
2024,Centro-Norte,2,13
2024,Norte,3,68
2024,Norte-Occidente,2,23
