status_id,status_name,gini_min,gini_max,gini_mean,gini_std,hhi_min,hhi_max,hhi_mean,hhi_std,gini_slope_decade,gini_pval,period,total_cases,pct_zero_munis,pct_munis_50pct,gini,hhi
0,Total,0.9146,0.9583,0.9347,0.0139,0.0064,0.0196,0.0108,0.0035,-0.0375,0.0,Jan 2015,1114,88.3,1.2107,0.9509,0.0125
0,Total,0.9146,0.9583,0.9347,0.0139,0.0064,0.0196,0.0108,0.0035,-0.0375,0.0,Jan 2020,2222,82.24,1.7353,0.9326,0.0083
0,Total,0.9146,0.9583,0.9347,0.0139,0.0064,0.0196,0.0108,0.0035,-0.0375,0.0,Dec 2025,1750,83.74,1.5738,0.9363,0.01
2,Located Alive,0.9349,0.9784,0.9552,0.013,0.0086,0.0419,0.0162,0.0075,-0.0349,0.0,Jan 2015,790,92.09,0.7264,0.9677,0.019
2,Located Alive,0.9349,0.9784,0.9552,0.013,0.0086,0.0419,0.0162,0.0075,-0.0349,0.0,Jan 2020,1384,88.26,1.2107,0.955,0.0118
2,Located Alive,0.9349,0.9784,0.9552,0.013,0.0086,0.0419,0.0162,0.0075,-0.0349,0.0,Dec 2025,868,90.72,1.0896,0.9595,0.016
3,Located Dead,0.9627,0.9927,0.9792,0.0069,0.0115,0.0776,0.0271,0.0137,-0.016,0.0,Jan 2015,49,98.35,0.686,0.9856,0.0271
3,Located Dead,0.9627,0.9927,0.9792,0.0069,0.0115,0.0776,0.0271,0.0137,-0.016,0.0,Jan 2020,153,96.41,0.7667,0.9766,0.0208
3,Located Dead,0.9627,0.9927,0.9792,0.0069,0.0115,0.0776,0.0271,0.0137,-0.016,0.0,Dec 2025,41,98.83,0.3632,0.9914,0.0672
7,Not Located,0.9258,0.966,0.9465,0.0109,0.0063,0.0192,0.0111,0.0026,-0.0319,0.0,Jan 2015,275,94.07,1.4528,0.961,0.0113
7,Not Located,0.9258,0.966,0.9465,0.0109,0.0063,0.0192,0.0111,0.0026,-0.0319,0.0,Jan 2020,685,90.11,1.4528,0.9494,0.0099
7,Not Located,0.9258,0.966,0.9465,0.0109,0.0063,0.0192,0.0111,0.0026,-0.0319,0.0,Dec 2025,852,87.57,1.4931,0.9399,0.0108
