year,month,status_id,status_name,national_total
2023,1,0,Total,2665
2023,2,0,Total,2484
2023,3,0,Total,2856
2023,4,0,Total,2625
2023,5,0,Total,2753
2023,6,0,Total,2754
2023,7,0,Total,2651
2023,8,0,Total,2593
2023,9,0,Total,2690
2023,10,0,Total,2658
2023,11,0,Total,2479
2023,12,0,Total,2302
2024,1,0,Total,2760
2024,2,0,Total,2649
2024,3,0,Total,2875
2024,4,0,Total,2874
2024,5,0,Total,3118
2024,6,0,Total,2976
2024,7,0,Total,2969
2024,8,0,Total,2985
2024,9,0,Total,3162
2024,10,0,Total,3211
2024,11,0,Total,2954
2024,12,0,Total,2746
2025,1,0,Total,3193
2025,2,0,Total,2941
2025,3,0,Total,3241
2025,4,0,Total,2877
2025,5,0,Total,3224
2025,6,0,Total,3095
2025,7,0,Total,2975
2025,8,0,Total,2955
2025,9,0,Total,2893
2025,10,0,Total,3001
2025,11,0,Total,2639
2025,12,0,Total,2064
2023,1,2,Located Alive,1725
2023,2,2,Located Alive,1620
2023,3,2,Located Alive,1805
2023,4,2,Located Alive,1675
2023,5,2,Located Alive,1775
2023,6,2,Located Alive,1684
2023,7,2,Located Alive,1611
2023,8,2,Located Alive,1595
2023,9,2,Located Alive,1631
2023,10,2,Located Alive,1593
2023,11,2,Located Alive,1469
2023,12,2,Located Alive,1354
2024,1,2,Located Alive,1629
2024,2,2,Located Alive,1578
2024,3,2,Located Alive,1709
2024,4,2,Located Alive,1681
2024,5,2,Located Alive,1823
2024,6,2,Located Alive,1777
2024,7,2,Located Alive,1732
2024,8,2,Located Alive,1703
2024,9,2,Located Alive,1844
2024,10,2,Located Alive,1864
2024,11,2,Located Alive,1726
2024,12,2,Located Alive,1521
2025,1,2,Located Alive,1951
2025,2,2,Located Alive,1837
2025,3,2,Located Alive,1872
2025,4,2,Located Alive,1744
2025,5,2,Located Alive,1929
2025,6,2,Located Alive,1788
2025,7,2,Located Alive,1714
2025,8,2,Located Alive,1647
2025,9,2,Located Alive,1561
2025,10,2,Located Alive,1791
2025,11,2,Located Alive,1541
2025,12,2,Located Alive,780
2023,1,3,Located Dead,157
2023,2,3,Located Dead,156
2023,3,3,Located Dead,173
2023,4,3,Located Dead,172
2023,5,3,Located Dead,151
2023,6,3,Located Dead,153
2023,7,3,Located Dead,151
2023,8,3,Located Dead,146
2023,9,3,Located Dead,155
2023,10,3,Located Dead,151
2023,11,3,Located Dead,124
2023,12,3,Located Dead,132
2024,1,3,Located Dead,155
2024,2,3,Located Dead,128
2024,3,3,Located Dead,139
2024,4,3,Located Dead,138
2024,5,3,Located Dead,143
2024,6,3,Located Dead,132
2024,7,3,Located Dead,154
2024,8,3,Located Dead,160
2024,9,3,Located Dead,187
2024,10,3,Located Dead,172
2024,11,3,Located Dead,154
2024,12,3,Located Dead,142
2025,1,3,Located Dead,168
2025,2,3,Located Dead,177
2025,3,3,Located Dead,186
2025,4,3,Located Dead,132
2025,5,3,Located Dead,118
2025,6,3,Located Dead,144
2025,7,3,Located Dead,133
2025,8,3,Located Dead,108
2025,9,3,Located Dead,110
2025,10,3,Located Dead,119
2025,11,3,Located Dead,98
2025,12,3,Located Dead,82
2023,1,7,Not Located,784
2023,2,7,Not Located,708
2023,3,7,Not Located,878
2023,4,7,Not Located,779
2023,5,7,Not Located,827
2023,6,7,Not Located,917
2023,7,7,Not Located,889
2023,8,7,Not Located,852
2023,9,7,Not Located,904
2023,10,7,Not Located,914
2023,11,7,Not Located,886
2023,12,7,Not Located,817
2024,1,7,Not Located,976
2024,2,7,Not Located,943
2024,3,7,Not Located,1028
2024,4,7,Not Located,1056
2024,5,7,Not Located,1154
2024,6,7,Not Located,1067
2024,7,7,Not Located,1083
2024,8,7,Not Located,1122
2024,9,7,Not Located,1133
2024,10,7,Not Located,1175
2024,11,7,Not Located,1075
2024,12,7,Not Located,1083
2025,1,7,Not Located,1075
2025,2,7,Not Located,928
2025,3,7,Not Located,1183
2025,4,7,Not Located,1010
2025,5,7,Not Located,1182
2025,6,7,Not Located,1170
2025,7,7,Not Located,1131
2025,8,7,Not Located,1203
2025,9,7,Not Located,1223
2025,10,7,Not Located,1091
2025,11,7,Not Located,1000
2025,12,7,Not Located,818
